ip,host,host_full,traffic_snd,traffic_rcv,packet_snd,packet_rcv,country,party,input_file,organization
224.0.0.251,224.0.0.251,224.0.0.251,438158,0,1561,0,224.0.0.251,Local,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,224.0.0.251
172.217.164.131,gstatic.com,play-music.gstatic.com,20615,634972,209,272,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,N/A
172.217.7.238,google.com,clients1.google.com,1185287,2957699,3221,4092,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,N/A
172.217.15.78,youtube.com,img.youtube.com,125774,1293624,446,622,US,Third party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,N/A
172.217.13.234,googleapis.com,play.googleapis.com,44364,33251,178,185,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,N/A
172.217.7.206,youtube.com,img.youtube.com,169766,2933416,734,909,US,Third party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,N/A
172.217.7.228,google.com,www.google.com,29587769,29643131,27157,35928,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,N/A
172.217.7.193,googleusercontent.com,lh3.googleusercontent.com,110362,12253609,1399,2219,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,N/A
172.217.9.202,googleapis.com,fonts.googleapis.com,50128,91992,282,322,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,N/A
172.217.164.170,googleapis.com,fcm.googleapis.com,68064,113655,184,228,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,N/A
192.168.110.254,192.168.110.254,192.168.110.254,52626,55362,383,391,192.168.110.254,Local,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,192.168.110.254
172.217.7.226,doubleclick.net,googleads.g.doubleclick.net,2810,4458,20,25,US,Advertisers,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,Google LLC
172.217.12.238,youtube.com,img.youtube.com,20365,322484,188,185,US,Third party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,N/A
172.217.13.238,youtube.com,img.youtube.com,5592,40465,42,40,US,Third party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,N/A
216.239.35.0,google.com,time.google.com,90,90,1,1,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,Google LLC
172.217.12.234,googleapis.com,fcm.googleapis.com,41318,62418,217,269,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,N/A
172.217.9.209,withgoogle.com,csp.withgoogle.com,28513,40207,144,136,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,N/A
172.253.122.188,google.com,mtalk.google.com,136228,242159,1432,1734,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,N/A
8.8.8.8,dns.google,dns.google,89742,112440,1074,1066,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,Level 3 Parent  LLC
172.217.9.206,youtube.com,img.youtube.com,1764,1764,18,18,US,Third party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,N/A
172.217.13.225,googleusercontent.com,lh3.googleusercontent.com,200288,15912706,2504,4394,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,N/A
